Lfd. Nr.,Land,RB,Kreis,VB,Gem,Stadt,Post-leitzahl 1),Fläche in km2 2),Bevölkerung insgesamt,männlich,weiblich,je km2
1,11,0,00,0000,000,"Berlin, Stadt",10178,  891.12,3 613 495,1 776 267,1 837 228,4 055
2,02,0,00,0000,000,"Hamburg, Freie und Hansestadt",20038,  755.09,1 830 584, 897 207, 933 377,2 424
3,09,1,62,0000,000,"München, Landeshauptstadt",80313,  310.71,1 456 039, 708 422, 747 617,4 686
4,05,3,15,0000,000,"Köln, Stadt",50667,  405.01,1 080 394, 526 965, 553 429,2 668
5,06,4,12,0000,000,"Frankfurt am Main, Stadt",60311,  248.31, 746 878, 368 721, 378 157,3 008
6,08,1,11,0000,000,"Stuttgart, Landeshauptstadt",70173,  207.35, 632 743, 316 126, 316 617,3 052
7,05,1,11,0000,000,"Düsseldorf, Stadt",40213,  217.41, 617 280, 298 330, 318 950,2 839
8,05,9,13,0000,000,"Dortmund, Stadt",44135,  280.71, 586 600, 288 076, 298 524,2 090
9,05,1,13,0000,000,"Essen, Stadt",45127,  210.34, 583 393, 283 206, 300 187,2 774
10,14,7,13,0000,000,"Leipzig, Stadt",04109,  297.80, 581 980, 285 777, 296 203,1 954
11,04,0,11,0000,000,"Bremen, Stadt",28195,  317.88, 568 006, 280 484, 287 522,1 787
12,14,6,12,0000,000,"Dresden, Stadt",01067,  328.48, 551 072, 274 513, 276 559,1 678
13,03,2,41,0001,001,"Hannover, Landeshauptstadt",30159,  204.30, 535 061, 261 192, 273 869,2 619
14,09,5,64,0000,000,Nürnberg,90403,  186.45, 515 201, 250 702, 264 499,2 763
15,05,1,12,0000,000,"Duisburg, Stadt",47051,  232.80, 498 110, 246 183, 251 927,2 140
16,05,9,11,0000,000,"Bochum, Stadt",44787,  145.66, 365 529, 178 122, 187 407,2 509
17,05,1,24,0000,000,"Wuppertal, Stadt",42275,  168.39, 353 590, 173 025, 180 565,2 100
18,05,7,11,0000,000,"Bielefeld, Stadt",33602,  258.82, 332 552, 160 267, 172 285,1 285
19,05,3,14,0000,000,"Bonn, Stadt",53111,  141.06, 325 490, 155 605, 169 885,2 307
20,05,5,15,0000,000,"Münster, Stadt",48143,  303.28, 313 559, 150 360, 163 199,1 034
21,08,2,12,0000,000,"Karlsruhe, Stadt",76124,  173.42, 311 919, 159 659, 152 260,1 799
22,08,2,22,0000,000,"Mannheim, Universitätsstadt",68159,  144.97, 307 997, 153 663, 154 334,2 125
23,09,7,61,0000,000,Augsburg,86143,  146.87, 292 851, 143 867, 148 984,1 994
24,06,4,14,0000,000,"Wiesbaden, Landeshauptstadt",65183,  203.87, 278 654, 133 148, 145 506,1 367
25,05,1,16,0000,000,"Mönchengladbach, Stadt",41061,  170.47, 262 188, 128 925, 133 263,1 538
26,05,5,13,0000,000,"Gelsenkirchen, Stadt",45879,  104.94, 260 305, 129 548, 130 757,2 481
27,03,1,01,0000,000,"Braunschweig, Stadt",38100,  192.70, 248 023, 122 721, 125 302,1 287
28,01,0,02,0000,000,"Kiel, Landeshauptstadt",24103,  118.65, 247 943, 120 809, 127 134,2 090
29,14,5,11,0000,000,"Chemnitz, Stadt",09111,  221.05, 246 855, 121 771, 125 084,1 117
30,05,3,34,0002,002,"Aachen, Stadt",52062,  160.85, 246 272, 128 064, 118 208,1 531
31,15,0,02,0000,000,"Halle (Saale), Stadt",06108,  135.03, 239 173, 115 771, 123 402,1 771
32,15,0,03,0000,000,"Magdeburg, Landeshauptstadt",39104,  201.01, 238 478, 117 677, 120 801,1 186
33,08,3,11,0000,000,"Freiburg im Breisgau, Stadt",79098,  153.04, 229 636, 109 537, 120 099,1 500
34,05,1,14,0000,000,"Krefeld, Stadt",47803,  137.77, 226 699, 110 467, 116 232,1 645
35,01,0,03,0000,000,"Lübeck, Hansestadt",23552,  214.19, 216 318, 103 884, 112 434,1 010
36,07,3,15,0000,000,"Mainz, Stadt",55116,  97.73, 215 110, 104 564, 110 546,2 201
37,16,0,51,0000,000,"Erfurt, Stadt",99084,  269.91, 212 988, 103 683, 109 305, 789
38,05,1,19,0000,000,"Oberhausen, Stadt",46045,  77.09, 211 422, 103 851, 107 571,2 743
39,13,0,03,0000,000,"Rostock, Hansestadt",18055,  181.36, 208 409, 102 700, 105 709,1 149
40,06,6,11,0000,000,"Kassel, documenta-Stadt",34117,  106.80, 200 736, 98 371, 102 365,1 880
41,05,9,14,0000,000,"Hagen, Stadt der FernUniversität",58095,  160.45, 187 730, 91 443, 96 287,1 170
42,10,0,41,0100,100,"Saarbrücken, Landeshauptstadt",66111,  167.52, 180 966, 89 755, 91 211,1 080
43,05,9,15,0000,000,"Hamm, Stadt",59065,  226.43, 179 185, 88 012, 91 173, 791
44,12,0,54,0000,000,"Potsdam, Stadt",14469,  188.26, 175 710, 85 046, 90 664, 933
45,05,1,17,0000,000,"Mülheim an der Ruhr, Stadt",45468,  91.28, 171 265, 82 616, 88 649,1 876
46,07,3,14,0000,000,"Ludwigshafen am Rhein, Stadt",67059,  77.43, 168 497, 83 893, 84 604,2 176
47,03,4,03,0000,000,"Oldenburg (Oldenburg), Stadt",26122,  103.09, 167 081, 79 833, 87 248,1 621
48,03,4,04,0000,000,"Osnabrück, Stadt",49074,  119.80, 164 374, 79 505, 84 869,1 372
49,05,3,16,0000,000,"Leverkusen, Stadt",51373,  78.87, 163 577, 79 675, 83 902,2 074
50,08,2,21,0000,000,"Heidelberg, Stadt",69117,  108.89, 160 601, 77 319, 83 282,1 475
51,05,1,22,0000,000,"Solingen, Klingenstadt",42651,  89.54, 158 803, 77 157, 81 646,1 774
52,06,4,11,0000,000,"Darmstadt, Wissenschaftsstadt",64283,  122.07, 158 254, 80 565, 77 689,1 296
53,05,9,16,0000,000,"Herne, Stadt",44623,  51.42, 156 490, 76 665, 79 825,3 043
54,05,1,62,0024,024,"Neuss, Stadt",41460,  99.52, 153 810, 74 499, 79 311,1 546
55,09,3,62,0000,000,Regensburg,93019,  80.85, 150 894, 73 121, 77 773,1 866
56,05,7,74,0032,032,"Paderborn, Stadt",33098,  179.59, 149 075, 74 117, 74 958, 830
57,09,1,61,0000,000,Ingolstadt,85047,  133.35, 135 244, 68 292, 66 952,1 014
58,06,4,13,0000,000,"Offenbach am Main, Stadt",63065,  44.88, 126 658, 62 566, 64 092,2 822
59,09,6,63,0000,000,Würzburg,97067,  87.60, 126 635, 60 447, 66 188,1 446
60,09,5,63,0000,000,Fürth,90744,  63.35, 126 526, 61 962, 64 564,1 997
61,08,4,21,0000,000,"Ulm, Universitätsstadt",89073,  118.68, 125 596, 62 321, 63 275,1 058
62,08,1,21,0000,000,"Heilbronn, Stadt",74072,  99.89, 125 113, 63 068, 62 045,1 253
63,08,2,31,0000,000,"Pforzheim, Stadt",75175,  98.07, 124 289, 61 032, 63 257,1 267
64,03,1,03,0000,000,"Wolfsburg, Stadt",38440,  204.61, 123 914, 61 559, 62 355, 606
65,03,1,59,0016,016,"Göttingen, Stadt",37083,  116.93, 119 529, 58 238, 61 291,1 022
66,05,5,12,0000,000,"Bottrop, Stadt",46236,  100.61, 117 364, 57 116, 60 248,1 167
67,08,4,15,0061,061,"Reutlingen, Stadt",72764,  87.04, 115 762, 57 266, 58 496,1 330
68,07,1,11,0000,000,"Koblenz, Stadt",56068,  105.25, 113 844, 55 372, 58 472,1 082
69,05,5,62,0032,032,"Recklinghausen, Stadt",45657,  66.50, 113 360, 55 218, 58 142,1 705
70,04,0,12,0000,000,"Bremerhaven, Stadt",27576,  101.53, 113 026, 56 181, 56 845,1 113
71,05,3,78,0004,004,"Bergisch Gladbach, Stadt",51465,  83.09, 111 627, 53 477, 58 150,1 343
72,16,0,53,0000,000,"Jena, Stadt",07743,  114.76, 111 099, 55 472, 55 627, 968
73,09,5,62,0000,000,Erlangen,91051,  76.96, 110 998, 55 200, 55 798,1 442
74,05,1,20,0000,000,"Remscheid, Stadt",42853,  74.52, 110 584, 54 482, 56 102,1 484
75,07,2,11,0000,000,"Trier, Stadt",54290,  117.06, 110 013, 54 181, 55 832, 940
76,03,1,02,0000,000,"Salzgitter, Stadt",38226,  224.49, 104 548, 51 990, 52 558, 466
77,05,1,70,0024,024,"Moers, Stadt",47441,  67.68, 103 949, 50 468, 53 481,1 536
78,05,9,70,0040,040,"Siegen, Universitätsstadt",57072,  114.69, 102 337, 50 074, 52 263, 892
79,03,2,54,0021,021,"Hildesheim, Stadt",31134,  92.29, 101 744, 48 413, 53 331,1 102
80,12,0,52,0000,000,"Cottbus, Stadt",03046,  165.63, 101 036, 49 792, 51 244, 610
81,07,3,12,0000,000,"Kaiserslautern, Stadt",67657,  139.70, 99 684, 50 307, 49 377, 714
82,05,7,54,0008,008,"Gütersloh, Stadt",33330,  112.02, 99 315, 49 292, 50 023, 887
83,05,9,54,0036,036,"Witten, Stadt",58452,  72.40, 96 565, 46 972, 49 593,1 334
84,06,4,35,0014,014,"Hanau, Brüder-Grimm-Stadt",63450,  76.47, 96 130, 47 535, 48 595,1 257
85,13,0,04,0000,000,"Schwerin, Landeshauptstadt",19053,  130.52, 95 797, 46 046, 49 751, 734
86,16,0,52,0000,000,"Gera, Stadt",07545,  152.19, 94 859, 45 890, 48 969, 623
87,08,1,18,0048,048,"Ludwigsburg, Stadt",71638,  43.34, 93 593, 46 086, 47 507,2 160
88,08,1,16,0019,019,"Esslingen am Neckar, Stadt",73728,  46.43, 93 004, 46 473, 46 531,2 003
89,05,9,62,0024,024,"Iserlohn, Stadt",58636,  125.49, 92 928, 45 469, 47 459, 741
90,05,3,58,0008,008,"Düren, Stadt",52349,  85.00, 90 502, 44 655, 45 847,1 065
91,14,5,24,0330,330,"Zwickau, Stadt",08056,  102.58, 90 192, 43 959, 46 233, 879
92,08,4,16,0041,041,"Tübingen, Universitätsstadt",72070,  108.06, 89 447, 42 508, 46 939, 828
93,01,0,01,0000,000,"Flensburg, Stadt",24937,  56.73, 88 519, 44 086, 44 433,1 560
94,06,5,31,0005,005,"Gießen, Universitätsstadt",35390,  72.55, 87 343, 42 546, 44 797,1 204
95,05,1,58,0028,028,"Ratingen, Stadt",40878,  88.74, 87 226, 41 789, 45 437, 983
96,05,9,78,0024,024,"Lünen, Stadt",44532,  59.39, 86 465, 42 094, 44 371,1 456
97,08,3,26,5004,074,"Villingen-Schwenningen, Stadt",78050,  165.50, 84 557, 41 575, 42 982, 511
98,08,3,35,5004,043,"Konstanz, Universitätsstadt",78462,  54.11, 84 441, 40 614, 43 827,1 561
99,05,5,62,0024,024,"Marl, Stadt",45768,  87.76, 83 695, 41 196, 42 499, 954
100,07,3,19,0000,000,"Worms, Stadt",67547,  108.73, 83 081, 40 870, 42 211, 764
101,15,0,01,0000,000,"Dessau-Roßlau, Stadt",06844,  244.75, 82 111, 39 933, 42 178, 335
102,05,1,58,0032,032,"Velbert, Stadt",42551,  74.90, 82 061, 40 100, 41 961,1 096
103,05,7,70,0024,024,"Minden, Stadt",32423,  101.12, 81 698, 40 119, 41 579, 808
104,01,0,04,0000,000,"Neumünster, Stadt",24534,  71.66, 79 335, 39 190, 40 145,1 107
105,01,0,60,0063,063,"Norderstedt, Stadt",22846,  58.10, 78 679, 38 161, 40 518,1 354
106,03,4,01,0000,000,"Delmenhorst, Stadt",27749,  62.45, 77 521, 38 383, 39 138,1 241
107,09,4,61,0000,000,Bamberg,96031,  54.62, 77 179, 37 165, 40 014,1 413
108,05,1,66,0032,032,"Viersen, Stadt",41747,  91.10, 76 586, 37 076, 39 510, 841
109,03,4,05,0000,000,"Wilhelmshaven, Stadt",26382,  107.07, 76 316, 37 572, 38 744, 713
110,06,5,34,0014,014,"Marburg, Universitätsstadt",35037,  123.91, 76 226, 36 372, 39 854, 615
111,05,5,66,0076,076,"Rheine, Stadt",48431,  145.00, 76 018, 37 649, 38 369, 524
112,05,5,62,0014,014,"Gladbeck, Stadt",45964,  35.97, 75 689, 36 870, 38 819,2 104
113,05,5,62,0012,012,"Dorsten, Stadt",46284,  171.20, 75 252, 36 551, 38 701, 440
114,03,3,55,0022,022,"Lüneburg, Hansestadt",21335,  70.50, 75 192, 36 224, 38 968,1 067
115,05,3,82,0068,068,"Troisdorf, Stadt",53840,  62.00, 74 870, 36 634, 38 236,1 208
116,05,7,66,0020,020,"Detmold, Stadt",32756,  129.39, 74 353, 35 841, 38 512, 575
117,09,4,62,0000,000,Bayreuth,95410,  66.89, 73 999, 36 035, 37 964,1 106
118,05,5,62,0004,004,"Castrop-Rauxel, Stadt",44575,  51.68, 73 989, 36 034, 37 955,1 432
119,05,9,58,0004,004,"Arnsberg, Stadt",59759,  193.72, 73 814, 36 310, 37 504, 381
120,05,9,62,0032,032,"Lüdenscheid, Stadt",58507,  87.02, 72 894, 35 798, 37 096, 838
121,12,0,51,0000,000,"Brandenburg an der Havel, Stadt",14770,  229.72, 71 886, 35 522, 36 364, 313
122,09,2,61,0000,000,Landshut,84026,  65.83, 71 193, 34 617, 36 576,1 081
123,05,5,54,0008,008,"Bocholt, Stadt",46395,  119.40, 71 036, 34 778, 36 258, 595
124,09,6,61,0000,000,Aschaffenburg,63701,  62.45, 69 928, 33 899, 36 029,1 120
125,03,3,51,0006,006,"Celle, Stadt",29221,  176.02, 69 706, 33 755, 35 951, 396
126,09,7,63,0000,000,Kempten (Allgäu),87435,  63.28, 68 330, 33 789, 34 541,1 080
127,06,6,31,0009,009,"Fulda, Stadt",36037,  104.05, 67 973, 33 322, 34 651, 653
